"author_id","conversation_id","created_at","id","relevancy","sentiment","text"
"1460899128259399683","1476310051362988033","2021-12-29T21:51:59.000Z","1476310051362988033","no",,"First crypto #Giveaway 2 $SOL to the lucky winner.   Criteria: ⚫️You must follow the @CryptodotNP  ⚫️#Shillme your fav #Altcoins or #memecoin   MUST  Like-Retweet -Comment 🚀  Time starts now ⏳ Giveaway will end at 01/01/2022 12:00am #UTC"
"1393757732566552579","1476661243045814272","2021-12-30T21:07:30.000Z","1476661243045814272","neutral","neutral","Gm ☕️ Been taking a little break recently. Wanted to say a big, big thank you to all my collectors, friends and fellow artists. It’s been a really rewarding year for me personally, none of which would be possible without every single one of you. Cheers to us all ✨ LFG 2022! https://t.co/bfuLmxYOex"
"113203811","1476815458103816192","2021-12-31T07:20:17.000Z","1476815458103816192","no",,"My 17 year old daughter drove out 10:30 at night 3 days ago to see how harvesting was going and got a job on the ferry bin. She worked until one the first night and every day since. https://t.co/Bacd6WjelM"
"22353361","1476852330309963777","2021-12-31T09:46:48.000Z","1476852330309963777","neutral","neutral","I can’t wait to say a big cya to this year. Hit my lowest points, said my hardest goodbye, started therapy, but also met some amazing people &amp; eventually got through it in the end.  Thanks to everyone that stuck by me this year &amp; supported my stream. Here’s to a better 2022 🤍"
"1062666434407366656","1476856841866936320","2021-12-31T10:04:44.000Z","1476856841866936320","no",,"Happy New Year! Let’s toast to yesterday’s achievements and tomorrow’s bright future! Idemo! https://t.co/iwgkdBzXTt"
"1258895358","1476885899401039873","2021-12-31T12:00:12.000Z","1476885899401039873","no",,"Happy New Year little friends in my phone   I’m continuously grateful for you all   (Except for the people who fight over calling it an appendectomy vs appendicectomy. Those people can go.  It’s clear that appendicectomy is the more correct)"
"2734546271","1476901780789215234","2021-12-31T13:03:18.000Z","1476901780789215234","no",,"Happy New Year from a sleepy Sydney apartment :) https://t.co/2DP68LecYr"
"1395370430647570432","1476909007314960385","2021-12-31T13:32:01.000Z","1476909007314960385","no",,"happy new year friends!"
"1158706818740154370","1476915962867695617","2021-12-31T13:59:39.000Z","1476915962867695617","no",,"님들 새해 복 많이 받으세요!! Happy New Year everyone!  I have a lot of things I hope for 2022, but mainly I just hope it is better than this year. I am grateful for all of you, you make my life so much better, and I hope you have an amazing safe celebration with family. https://t.co/2fLBZQOCl8"
"374961681","1476927721011761153","2021-12-31T14:46:23.000Z","1476927721011761153","no",,"Happy New Year guyses 🥳… This is probably our first crossover with the girls still awake with literally no plans of sleeping anytime soon. We prayed, we burned a candle and some incense. Couldn’t have asked for a better way to enter into the one and only 2022!!!! https://t.co/dtGOrxmynt"
