"id","auto","hum"
26798281,6,0
26798281,6,0
26798281,8,0
26798281,8,0
26798281,8,0
26798281,8,0
26798281,8,0
26798281,7,0
26798281,9,0
26798281,5,0
26798281,7,0
26798281,7,0
26798281,8,0
26798281,8,0
26798281,8,0
26798281,8,0
26798281,8,0
26798281,8,0
26798281,6,0
26798281,8,0
26798282,7,3
26798282,8,3
26798282,7,3
26798282,7,3
26798282,9,3
26798282,7,3
26798282,8,3
26798282,6,3
26798282,8,3
26798282,7,3
26798282,6,3
26798282,8,3
26798282,7,3
26798282,7,3
26798282,6,3
26798282,6,3
26798282,7,3
26798282,8,3
26798282,8,3
26798282,7,3
26798283,8,5
26798283,9,5
26798283,7,5
26798283,8,5
26798283,9,5
26798283,8,5
26798283,8,5
26798283,8,5
26798283,8,5
26798283,7,5
26798283,9,5
26798283,9,5
26798283,9,5
26798283,7,5
26798283,8,5
26798283,9,5
26798283,8,5
26798283,7,5
26798283,7,5
26798283,10,5
26798284,3,4
26798284,5,4
26798284,5,4
26798284,6,4
26798284,7,4
26798284,3,4
26798284,5,4
26798284,5,4
26798284,3,4
26798284,3,4
26798284,2,4
26798284,5,4
26798284,6,4
26798284,4,4
26798284,3,4
26798284,3,4
26798284,3,4
26798284,5.5,4
26798284,4,4
26798284,5,4
26798286,0,0
26798286,0,0
26798286,0,0
26798286,0,0
26798286,0,0
26798286,0,0
26798286,,0
26798286,,0
26798286,3,0
26798286,0,0
26798286,0,0
26798286,0,0
26798286,0,0
26798286,0,0
26798286,2,0
26798286,1,0
26798286,0,0
26798286,2,0
26798286,0,0
26798286,0,0
26798287,7,0
26798287,5,0
26798287,7,0
26798287,8,0
26798287,6,0
26798287,4,0
26798287,6,0
26798287,4,0
26798287,7,0
26798287,7,0
26798287,7,0
26798287,7,0
26798287,6,0
26798287,5,0
26798287,6,0
26798287,8,0
26798287,4.5,0
26798287,7,0
26798287,5,0
26798287,6,0
26798288,10,8.5
26798288,8,8.5
26798288,9,8.5
26798288,10,8.5
26798288,9,8.5
26798288,10,8.5
26798288,10,8.5
26798288,10,8.5
26798288,10,8.5
26798288,10,8.5
26798288,10,8.5
26798288,10,8.5
26798288,10,8.5
26798288,8,8.5
26798288,10,8.5
26798288,9,8.5
26798288,10,8.5
26798288,10,8.5
26798288,9,8.5
26798288,10,8.5
26798289,9,6.5
26798289,9,6.5
26798289,10,6.5
26798289,9,6.5
26798289,8,6.5
26798289,8,6.5
26798289,9,6.5
26798289,7,6.5
26798289,9,6.5
26798289,10,6.5
26798289,9,6.5
26798289,8,6.5
26798289,7,6.5
26798289,8,6.5
26798289,10,6.5
26798289,10,6.5
26798289,9,6.5
26798289,9,6.5
26798289,8,6.5
26798289,9,6.5
26798290,0,0
26798290,0,0
26798290,,0
26798290,0,0
26798290,0,0
26798290,0,0
26798290,0,0
26798290,0,0
26798290,,0
26798290,0,0
26798290,0,0
26798290,,0
26798290,2,0
26798290,0,0
26798290,0,0
26798290,0,0
26798290,,0
26798290,0,0
26798290,0,0
26798290,0,0
26798293,6,4.5
26798293,7,4.5
26798293,7,4.5
26798293,5,4.5
26798293,6,4.5
26798293,6,4.5
26798293,6,4.5
26798293,9,4.5
26798293,8,4.5
26798293,,4.5
26798293,9,4.5
26798293,7,4.5
26798293,5,4.5
26798293,8,4.5
26798293,5,4.5
26798293,8,4.5
26798293,6,4.5
26798293,7,4.5
26798293,6,4.5
26798293,8,4.5
26798295,10,6
26798295,8,6
26798295,8,6
26798295,10,6
26798295,8,6
26798295,8.5,6
26798295,7,6
26798295,9,6
26798295,9,6
26798295,10,6
26798295,7,6
26798295,8,6
26798295,8,6
26798295,7,6
26798295,9,6
26798295,9,6
26798295,9,6
26798295,7,6
26798295,,6
26798295,9,6
26798296,6,5.5
26798296,6,5.5
26798296,6,5.5
26798296,9,5.5
26798296,6,5.5
26798296,8,5.5
26798296,7,5.5
26798296,6,5.5
26798296,7,5.5
26798296,10,5.5
26798296,7,5.5
26798296,5,5.5
26798296,6,5.5
26798296,6,5.5
26798296,6,5.5
26798296,6,5.5
26798296,6,5.5
26798296,8,5.5
26798296,6,5.5
26798296,6,5.5
26798297,7,10
26798297,10,10
26798297,10,10
26798297,10,10
26798297,,10
26798297,9,10
26798297,9,10
26798297,10,10
26798297,9,10
26798297,9,10
26798297,9,10
26798297,10,10
26798297,10,10
26798297,10,10
26798297,9,10
26798297,9,10
26798297,10,10
26798297,10,10
26798297,10,10
26798297,10,10
26798300,0,0
26798300,0,0
26798300,0,0
26798300,0,0
26798300,,0
26798300,,0
26798300,0,0
26798300,0,0
26798300,0,0
26798300,0,0
26798300,0,0
26798300,0,0
26798300,,0
26798300,,0
26798300,,0
26798300,0,0
26798300,,0
26798300,0,0
26798300,0,0
26798300,1,0
26798301,8,5.5
26798301,9,5.5
26798301,7,5.5
26798301,9,5.5
26798301,7,5.5
26798301,9,5.5
26798301,10,5.5
26798301,9,5.5
26798301,7,5.5
26798301,9,5.5
26798301,9,5.5
26798301,8,5.5
26798301,9,5.5
26798301,9,5.5
26798301,9,5.5
